run_label,commit_id,region_max_ms,region_avg_ms,region_count,joiner_ms,joiner_count
joiner3,1,3608.05419921875,3336.0519943237305,64,10318.2080078125,1
joiner3,2,2598.2080078125,1991.1963958740234,64,13095.383056640625,1
joiner3,3,4324.993896484375,2792.727855682373,64,5910.121826171875,1
joiner3,4,3817.881103515625,2024.4465789794922,64,1923.84814453125,1
joiner3,5,2485.186767578125,1077.2047805786133,64,1745.284912109375,1
joiner3,6,6048.89208984375,2171.383876800537,64,1764.761962890625,1
joiner3,7,6194.600830078125,3854.693161010742,64,2080.033203125,1
joiner3,8,5800.150146484375,1717.5183792114258,64,1766.014892578125,1
joiner3,9,1281.65087890625,1033.7925491333008,64,1771.0751953125,1
joiner3,10,1410.08203125,1021.3337898254395,64,1789.041015625,1
joiner3,11,1176.830078125,1051.1347770690918,64,1823.029052734375,1
joiner3,12,5940.02294921875,1195.7302169799805,64,1783.256103515625,1
joiner3,13,6173.280029296875,2580.9807777404785,64,1788.239013671875,1
joiner3,14,6140.454833984375,2814.1736640930176,64,2421.868896484375,1
joiner3,15,6078.467041015625,2165.6091079711914,64,1787.715087890625,1
joiner3,16,4031.541015625,767.711368560791,64,1815.013916015625,1
shared,1,4720.782958984375,3478.7603187561035,64,2659.740966796875,1
shared,2,2462.428955078125,2064.185375213623,64,2989.046142578125,1
shared,3,3830.56787109375,2403.943733215332,64,3147.68701171875,1
shared,4,3060.087158203125,1939.5243682861328,64,2138.036865234375,1
shared,5,6266.0029296875,1252.9565734863281,64,4529.2099609375,1
shared,6,6610.94580078125,2877.8279876708984,64,3689.011962890625,1
shared,7,6539.176025390625,3421.3038749694824,64,1889.70703125,1
shared,8,6509.47705078125,2184.9719276428223,64,693.337890625,1
shared,9,1745.947021484375,1207.835620880127,64,994.69287109375,1
shared,10,6322.7978515625,1283.265853881836,64,2835.273193359375,1
shared,11,1651.986083984375,1187.0241470336914,64,684.278076171875,1
shared,12,6281.9150390625,1857.9607887268066,64,469.174072265625,1
shared,13,6409.52001953125,2363.1902351379395,64,470.97705078125,1
shared,14,6218.997802734375,2040.1955337524414,64,468.633056640625,1
shared,15,6269.047119140625,2070.904228210449,64,466.612060546875,1
shared,16,5916.583984375,1222.508632659912,64,476.4921875,1
joiner,1,3395.56396484375,3231.9915313720703,64,3116.31201171875,1
joiner,2,2238.81396484375,1943.0838623046875,64,6285.47802734375,1
joiner,3,4191.315185546875,2812.361095428467,64,4344.4580078125,1
joiner,4,3506.466064453125,2007.619686126709,64,6046.205078125,1
joiner,5,1454.31787109375,1214.6689186096191,64,7495.308837890625,1
joiner,6,8060.44287109375,2905.1301879882812,64,5487.2880859375,1
joiner,7,8531.22802734375,5311.534469604492,64,1285.844970703125,1
joiner,8,6788.467041015625,2483.547534942627,64,1031.343994140625,1
joiner,9,1984.10986328125,1428.1254043579102,64,1032.23095703125,1
joiner,10,1551.778076171875,1272.565975189209,64,1032.965087890625,1
joiner,11,1529.822021484375,1231.2733345031738,64,1353.095947265625,1
joiner,12,5925.24609375,1493.9807395935059,64,1029.97412109375,1
joiner,13,6702.7529296875,2799.0292205810547,64,1024.64404296875,1
joiner,14,6728.930908203125,2741.320255279541,64,1034.3359375,1
joiner,15,6513.553955078125,2044.9584045410156,64,1022.823974609375,1
joiner,16,6007.907958984375,917.0254440307617,64,1022.125,1
